,section_no,match_index_in_section,match_date,start_time,dayofweek,stadium,home_team,home_goal,away_goal,away_team
28,6,4,2021/10/17,13:03,SUN,ノエビアスタジアム神戸,INAC神戸レオネッサ,1,0,ノジマステラ神奈川相模原
29,6,5,2021/10/17,14:03,SUN,デンカビッグスワンスタジアム,アルビレックス新潟レディース,0,3,マイナビ仙台レディース
30,7,1,2021/10/30,14:05,SAT,熊谷スポーツ文化公園陸上競技場,ちふれASエルフェン埼玉,0,1,INAC神戸レオネッサ
31,7,2,2021/10/31,13:03,SUN,フクダ電子アリーナ,ジェフユナイテッド市原・千葉レディース,2,1,三菱重工浦和レッズレディース
32,7,3,2021/10/31,13:03,SUN,広島広域公園第一球技場,サンフレッチェ広島レジーナ,0,0,ノジマステラ神奈川相模原
33,7,4,2021/10/31,14:03,SUN,NACK5スタジアム大宮,大宮アルディージャVENTUS,1,3,AC長野パルセイロ・レディース
34,7,5,2021/10/31,14:03,SUN,味の素フィールド西が丘,日テレ・東京ヴェルディベレーザ,2,0,アルビレックス新潟レディース
35,8,1,2021/11/6,13:03,SAT,キューアンドエースタジアムみやぎ,マイナビ仙台レディース,1,0,日テレ・東京ヴェルディベレーザ
36,8,2,2021/11/6,14:03,SAT,相模原ギオンスタジアム,ノジマステラ神奈川相模原,0,1,大宮アルディージャVENTUS
37,8,3,2021/11/6,14:03,SAT,新潟市陸上競技場,アルビレックス新潟レディース,0,1,ジェフユナイテッド市原・千葉レディース
38,8,4,2021/11/7,14:03,SUN,浦和駒場スタジアム,三菱重工浦和レッズレディース,0,2,INAC神戸レオネッサ
39,8,5,2021/11/7,14:03,SUN,熊谷スポーツ文化公園陸上競技場,ちふれASエルフェン埼玉,1,0,AC長野パルセイロ・レディース
40,9,1,2021/11/13,13:03,SAT,埼玉スタジアム2002,三菱重工浦和レッズレディース,3,1,マイナビ仙台レディース
41,9,2,2021/11/13,14:03,SAT,NACK5スタジアム大宮,大宮アルディージャVENTUS,0,0,ちふれASエルフェン埼玉
42,9,3,2021/11/14,13:03,SUN,フクダ電子アリーナ,ジェフユナイテッド市原・千葉レディース,2,0,ノジマステラ神奈川相模原
43,9,4,2021/11/14,13:03,SUN,ノエビアスタジアム神戸,INAC神戸レオネッサ,1,0,アルビレックス新潟レディース
44,9,5,2021/11/14,14:03,SUN,長野Uスタジアム,AC長野パルセイロ・レディース,2,1,サンフレッチェ広島レジーナ
45,10,1,2021/11/20,13:03,SAT,相模原ギオンスタジアム,ノジマステラ神奈川相模原,2,4,アルビレックス新潟レディース
46,10,2,2021/11/20,13:03,SAT,広島広域公園第一球技場,サンフレッチェ広島レジーナ,1,1,ジェフユナイテッド市原・千葉レディース
47,10,3,2021/11/20,14:03,SAT,味の素フィールド西が丘,日テレ・東京ヴェルディベレーザ,0,0,大宮アルディージャVENTUS
48,10,4,2021/11/20,15:03,SAT,熊谷スポーツ文化公園陸上競技場,ちふれASエルフェン埼玉,1,1,三菱重工浦和レッズレディース
49,10,5,2021/11/21,13:03,SUN,ユアテックスタジアム仙台,マイナビ仙台レディース,1,1,INAC神戸レオネッサ
50,11,1,2021/12/18,13:03,SAT,フクダ電子アリーナ,ジェフユナイテッド市原・千葉レディース,1,1,大宮アルディージャVENTUS
51,11,2,2022/5/3,14:03,TUE,新潟市陸上競技場,アルビレックス新潟レディース,2,4,三菱重工浦和レッズレディース
52,11,3,2022/5/4,14:03,WED,相模原ギオンスタジアム,ノジマステラ神奈川相模原,0,2,日テレ・東京ヴェルディベレーザ
53,11,4,2022/5/4,14:03,WED,広島広域公園第一球技場,サンフレッチェ広島レジーナ,1,0,INAC神戸レオネッサ
54,11,5,2022/5/4,15:03,WED,長野Uスタジアム,AC長野パルセイロ・レディース,1,0,マイナビ仙台レディース
55,12,1,2022/3/5,12:03,SAT,神戸総合運動公園ユニバー記念競技場,INAC神戸レオネッサ,1,1,ちふれASエルフェン埼玉
56,12,2,2022/3/5,13:03,SAT,ユアテックスタジアム仙台,マイナビ仙台レディース,4,0,サンフレッチェ広島レジーナ
57,12,3,2022/3/5,14:03,SAT,熊谷スポーツ文化公園陸上競技場,三菱重工浦和レッズレディース,2,0,ジェフユナイテッド市原・千葉レディース
58,12,4,2022/3/5,14:03,SAT,味の素フィールド西が丘,日テレ・東京ヴェルディベレーザ,4,0,AC長野パルセイロ・レディース
59,12,5,2022/3/6,13:03,SUN,NACK5スタジアム大宮,大宮アルディージャVENTUS,0,0,ノジマステラ神奈川相模原
60,13,1,2022/3/12,13:03,SAT,フクダ電子アリーナ,ジェフユナイテッド市原・千葉レディース,0,1,INAC神戸レオネッサ
61,13,2,2022/3/12,14:03,SAT,熊谷スポーツ文化公園陸上競技場,ちふれASエルフェン埼玉,2,2,大宮アルディージャVENTUS
62,13,3,2022/3/12,14:03,SAT,広島広域公園第一球技場,サンフレッチェ広島レジーナ,0,2,日テレ・東京ヴェルディベレーザ
63,13,4,2022/3/13,13:03,SUN,相模原ギオンスタジアム,ノジマステラ神奈川相模原,2,2,三菱重工浦和レッズレディース
64,13,5,2022/3/13,13:03,SUN,長野Uスタジアム,AC長野パルセイロ・レディース,2,2,アルビレックス新潟レディース
65,14,1,2022/3/19,13:03,SAT,ノエビアスタジアム神戸,INAC神戸レオネッサ,1,0,マイナビ仙台レディース
66,14,2,2022/3/19,14:03,SAT,味の素フィールド西が丘,日テレ・東京ヴェルディベレーザ,4,3,ノジマステラ神奈川相模原
67,14,3,2022/3/20,14:03,SUN,デンカビッグスワンスタジアム,アルビレックス新潟レディース,1,1,大宮アルディージャVENTUS
68,14,4,2022/3/21,13:03,MON,フクダ電子アリーナ,ジェフユナイテッド市原・千葉レディース,1,0,サンフレッチェ広島レジーナ
69,14,5,2022/3/21,14:03,MON,熊谷スポーツ文化公園陸上競技場,三菱重工浦和レッズレディース,3,2,ちふれASエルフェン埼玉
70,15,1,2022/3/26,15:04,SAT,正田醤油スタジアム群馬,ちふれASエルフェン埼玉,0,1,アルビレックス新潟レディース
71,15,2,2022/3/27,13:03,SUN,NACK5スタジアム大宮,大宮アルディージャVENTUS,0,1,日テレ・東京ヴェルディベレーザ
72,15,3,2022/3/27,13:06,SUN,ユアテックスタジアム仙台,マイナビ仙台レディース,2,0,AC長野パルセイロ・レディース
73,15,4,2022/3/27,14:03,SUN,相模原ギオンスタジアム,ノジマステラ神奈川相模原,0,3,ジェフユナイテッド市原・千葉レディース
74,15,5,2022/3/27,14:03,SUN,広島広域公園第一球技場,サンフレッチェ広島レジーナ,0,1,三菱重工浦和レッズレディース
75,16,1,2022/4/2,13:03,SAT,ゼットエーオリプリスタジアム,ジェフユナイテッド市原・千葉レディース,2,0,マイナビ仙台レディース
76,16,2,2022/4/3,13:03,SUN,味の素フィールド西が丘,日テレ・東京ヴェルディベレーザ,1,3,INAC神戸レオネッサ
77,16,3,2022/4/3,13:03,SUN,長野Uスタジアム,AC長野パルセイロ・レディース,0,0,ちふれASエルフェン埼玉
78,16,4,2022/4/3,14:03,SUN,浦和駒場スタジアム,三菱重工浦和レッズレディース,1,2,大宮アルディージャVENTUS
79,16,5,2022/4/3,14:03,SUN,デンカビッグスワンスタジアム,アルビレックス新潟レディース,1,2,ノジマステラ神奈川相模原
80,17,1,2022/4/16,13:03,SAT,ノエビアスタジアム神戸,INAC神戸レオネッサ,1,0,AC長野パルセイロ・レディース
81,17,2,2022/4/16,14:03,SAT,相模原ギオンスタジアム,ノジマステラ神奈川相模原,0,2,サンフレッチェ広島レジーナ
82,17,3,2022/4/17,13:03,SUN,NACK5スタジアム大宮,大宮アルディージャVENTUS,1,1,ジェフユナイテッド市原・千葉レディース
83,17,4,2022/4/17,13:04,SUN,味の素フィールド西が丘,マイナビ仙台レディース,0,1,アルビレックス新潟レディース
84,17,5,2022/4/17,14:03,SUN,熊谷スポーツ文化公園陸上競技場,ちふれASエルフェン埼玉,1,0,日テレ・東京ヴェルディベレーザ
85,18,1,2022/4/23,13:03,SAT,長野Uスタジアム,AC長野パルセイロ・レディース,2,3,三菱重工浦和レッズレディース
86,18,2,2022/4/23,18:03,SAT,味の素スタジアム,日テレ・東京ヴェルディベレーザ,2,3,ジェフユナイテッド市原・千葉レディース
87,18,3,2022/4/24,13:03,SUN,ユアテックスタジアム仙台,マイナビ仙台レディース,1,0,ちふれASエルフェン埼玉
88,18,4,2022/4/24,14:03,SUN,デンカビッグスワンスタジアム,アルビレックス新潟レディース,0,1,INAC神戸レオネッサ
89,18,5,2022/4/24,14:03,SUN,広島広域公園第一球技場,サンフレッチェ広島レジーナ,3,0,大宮アルディージャVENTUS
90,19,1,2022/4/29,13:03,FRI,ゼットエーオリプリスタジアム,ジェフユナイテッド市原・千葉レディース,0,0,AC長野パルセイロ・レディース
91,19,2,2022/4/29,13:03,FRI,ノエビアスタジアム神戸,INAC神戸レオネッサ,3,2,サンフレッチェ広島レジーナ
92,19,3,2022/4/29,14:03,FRI,浦和駒場スタジアム,三菱重工浦和レッズレディース,2,0,アルビレックス新潟レディース
93,19,4,2022/4/30,13:03,SAT,NACK5スタジアム大宮,大宮アルディージャVENTUS,0,1,マイナビ仙台レディース
94,19,5,2022/5/1,14:03,SUN,熊谷スポーツ文化公園陸上競技場,ちふれASエルフェン埼玉,1,1,ノジマステラ神奈川相模原
95,20,1,2022/5/7,13:04,SAT,ユアテックスタジアム仙台,マイナビ仙台レディース,2,3,三菱重工浦和レッズレディース
96,20,2,2022/5/7,15:03,SAT,長野Uスタジアム,AC長野パルセイロ・レディース,1,0,大宮アルディージャVENTUS
97,20,3,2022/5/8,14:03,SUN,相模原ギオンスタジアム,ノジマステラ神奈川相模原,0,3,INAC神戸レオネッサ
98,20,4,2022/5/8,14:03,SUN,広島広域公園第一球技場,サンフレッチェ広島レジーナ,4,0,ちふれASエルフェン埼玉
99,20,5,2022/5/8,18:33,SUN,デンカビッグスワンスタジアム,アルビレックス新潟レディース,,,日テレ・東京ヴェルディベレーザ
100,21,1,2022/5/14,14:00,SAT,長野Uスタジアム,AC長野パルセイロ・レディース,,,ノジマステラ神奈川相模原
101,21,2,2022/5/14,16:00,SAT,国立競技場,INAC神戸レオネッサ,,,三菱重工浦和レッズレディース
102,21,3,2022/5/15,14:00,SUN,味の素フィールド西が丘,日テレ・東京ヴェルディベレーザ,,,マイナビ仙台レディース
103,21,4,2022/5/15,14:00,SUN,デンカビッグスワンスタジアム,アルビレックス新潟レディース,,,サンフレッチェ広島レジーナ
104,21,5,2022/5/15,15:00,SUN,熊谷スポーツ文化公園陸上競技場,ちふれASエルフェン埼玉,,,ジェフユナイテッド市原・千葉レディース
105,22,1,2022/5/22,13:00,SUN,浦和駒場スタジアム,三菱重工浦和レッズレディース,,,日テレ・東京ヴェルディベレーザ
106,22,2,2022/5/22,13:00,SUN,NACK5スタジアム大宮,大宮アルディージャVENTUS,,,INAC神戸レオネッサ
107,22,3,2022/5/22,13:00,SUN,フクダ電子アリーナ,ジェフユナイテッド市原・千葉レディース,,,アルビレックス新潟レディース
108,22,4,2022/5/22,13:00,SUN,相模原ギオンスタジアム,ノジマステラ神奈川相模原,,,マイナビ仙台レディース
109,22,5,2022/5/22,13:00,SUN,広島広域公園第一球技場,サンフレッチェ広島レジーナ,,,AC長野パルセイロ・レディース
